candidate_id,rank,score,reasoning
CAND_0052328,1,1.0000,"Senior AI Engineer profile with 6.5 years of experience, currently working as Recommendation Systems Engineer at Amazon. Strong match for the JD requirements; demonstrated production expertise in Learning to Rank, LoRA, OpenSearch. Highlights include: strong GitHub contributio..."
CAND_0018499,2,0.9990,"Senior AI Engineer profile with 7.2 years of experience, currently working as Senior Machine Learning Engineer at Zomato. Strong match for the JD requirements; demonstrated production expertise in Embeddings, Information Retrieval, Learning to Rank. Highlights include: strong ..."
CAND_0068351,3,0.9977,"Senior AI Engineer profile with 6.4 years of experience, currently working as Lead AI Engineer at Sarvam AI. Strong match for the JD requirements; demonstrated production expertise in Information Retrieval Systems, PEFT, Python. Highlights include: immediate availability (0 da..."
CAND_0027691,4,0.9940,"Senior AI Engineer profile with 6.5 years of experience, currently working as NLP Engineer at Haptik. Strong match for the JD requirements; demonstrated production expertise in Embeddings, Learning to Rank, LoRA. Highlights include: strong GitHub contributions (score: 58), and..."
CAND_0041669,5,0.8138,"Senior AI Engineer profile with 8.0 years of experience, currently working as Recommendation Systems Engineer at CRED. Strong match for the JD requirements; demonstrated production expertise in FAISS, Milvus, PEFT. Highlights include: strong GitHub contributions (score: 71), a..."
CAND_0061257,6,0.8055,"Senior AI Engineer profile with 8.0 years of experience, currently working as Staff Machine Learning Engineer at LinkedIn. Strong match for the JD requirements; demonstrated production expertise in Information Retrieval Systems, PEFT, Python. Highlights include: immediate avai..."
CAND_0081846,7,0.7737,"Senior AI Engineer profile with 6.7 years of experience, currently working as Lead AI Engineer at Razorpay. Strong match for the JD requirements; demonstrated production expertise in Elasticsearch, Information Retrieval, Learning to Rank. Highlights include: immediate availabi..."
CAND_0007009,8,0.7591,"Senior AI Engineer profile with 7.9 years of experience, currently working as Recommendation Systems Engineer at Wysa. Strong match for the JD requirements; demonstrated production expertise in Embeddings, Learning to Rank, PEFT. Highlights include: strong GitHub contributions..."
CAND_0077337,9,0.7481,"Senior AI Engineer profile with 7.0 years of experience, currently working as Staff Machine Learning Engineer at Paytm. Strong match for the JD requirements; demonstrated production expertise in Information Retrieval, Pinecone, Python. Highlights include: strong GitHub contrib..."
CAND_0069905,10,0.7476,"Senior AI Engineer profile with 6.6 years of experience, currently working as Applied ML Engineer at Sarvam AI. Strong match for the JD requirements; demonstrated production expertise in Learning to Rank, LoRA, Python. Highlights include: high responsiveness on the platform (7..."
CAND_0008295,11,0.7401,"Senior AI Engineer profile with 6.5 years of experience, currently working as AI Research Engineer at Razorpay. Strong match for the JD requirements; demonstrated production expertise in PEFT, Python, QLoRA. Highlights include: strong GitHub contributions (score: 51), and high..."
CAND_0030784,12,0.7284,"Senior AI Engineer profile with 4.4 years of experience, currently working as Data Scientist at Yellow.ai. Strong match for the JD requirements; demonstrated production expertise in Embeddings, Learning to Rank, Pinecone. Highlights include: high responsiveness on the platform..."
